食物名称(100g),热量(kcal),硫胺素(mg),钙(mg),蛋白质(g),核黄素(mg),镁(mg),脂肪(g),烟酸(mg),铁(mg),碳水化合物(g),维生素C(mg),锰(mg),膳食纤维(g),维生素E(mg),锌(mg),维生素A(ug),胆固醇(mg),铜(mg),胡萝卜素(ug),钾(mg),磷(mg),视黄醇当量(ug),钠(mg),硒(mg),label
小麦,317,0,34,12,0,4,1,4,5,64,0,3,11,2,2,0,0,0,2,289,325,10,7,4,3
五谷香,377,0,2,10,0,0,3,0,0,78,0,0,0,2,0,0,0,0,3,7,13,6,1,1,13
小麦粉(标准粉),344,0,31,11,0,50,2,2,4,72,0,2,2,2,2,0,0,0,1,190,188,13,3,5,3
小麦粉(富强粉，特一粉),350,0,27,10,0,32,1,2,3,75,0,1,1,1,1,0,0,0,1,128,114,13,3,7,3
小麦粉(特二粉),349,0,30,10,0,48,1,2,3,74,0,1,2,1,1,0,0,1,1,124,120,12,2,6,3
小麦胚粉,392,4,85,36,1,198,10,4,1,39,0,17,6,23,23,0,0,1,5,1523,1168,4,5,65,29
麸皮,220,0,206,16,0,382,4,12,10,30,0,11,31,4,6,20,0,2,4,862,682,14,12,7,4
挂面(均值),346,0,17,10,0,49,1,2,3,75,0,1,1,1,1,0,0,0,1,129,134,12,184,12,3
挂面(标准粉),344,0,14,10,0,51,1,2,4,74,0,1,2,1,1,0,0,0,1,157,153,12,150,10,3
挂面(富强粉),347,0,21,10,0,48,1,2,3,76,0,1,0,1,1,0,0,0,1,122,112,13,111,11,3
挂面(精制龙须面),347,0,26,11,0,48,0,2,2,74,0,1,0,0,1,0,0,0,2,109,137,12,293,14,3
面条(均值),284,0,11,8,0,39,1,1,4,61,0,1,1,1,1,0,0,0,1,135,162,28,28,12,3
面条(标准粉，切面),280,0,13,8,0,61,2,3,3,58,0,1,2,0,1,0,0,0,1,161,142,30,3,0,3
面条(富强粉，切面),285,0,24,9,0,29,1,2,2,60,0,1,0,0,1,0,0,0,0,102,92,29,2,17,3
面条(特粉，切面),286,0,3,7,0,36,0,0,5,64,0,1,1,0,2,0,0,0,1,128,181,28,10,16,3
面条(富强粉，煮),109,0,4,3,0,10,0,2,0,24,0,0,0,0,0,0,0,0,0,15,25,73,27,0,1
面条(干切面),355,0,8,11,0,42,0,3,10,78,0,1,0,0,2,0,0,0,1,100,142,10,61,8,3
面条(虾蓉面),429,0,17,8,0,24,15,3,2,65,0,0,4,1,0,0,0,0,2,101,92,6,304,9,3
通心面[通心粉],350,0,14,12,0,58,0,1,3,75,0,1,0,0,2,0,0,0,0,209,97,12,35,6,3
花卷,211,0,19,6,0,12,1,1,0,44,0,0,2,0,0,0,0,0,1,83,72,46,95,6,3
空锅饼,277,0,2,9,0,30,0,0,6,60,0,1,1,0,2,0,0,0,1,138,133,29,243,24,3
烙饼(标准粉),255,0,20,8,0,51,2,0,2,51,0,1,2,1,1,0,0,0,1,141,146,36,149,8,3
馒头(均值),221,0,38,7,0,30,1,0,2,46,0,1,1,1,1,0,0,0,1,138,107,44,165,8,3
馒头(标准粉),233,0,18,8,0,39,1,0,2,48,0,1,2,1,1,0,0,0,1,129,136,40,165,10,3
馒头(富强粉),208,0,58,6,0,20,1,0,2,43,0,0,1,0,0,0,0,0,1,146,78,47,165,7,3
烧饼(加糖),293,0,51,8,0,26,2,1,2,61,0,0,2,0,0,0,0,0,1,122,105,26,62,12,3
油饼,399,0,46,8,0,13,23,0,2,40,0,1,2,14,1,0,0,0,2,106,124,25,572,11,0
油条,386,0,6,7,0,19,18,1,1,50,0,1,1,3,1,0,0,0,3,227,77,22,585,9,3
水面筋,141,0,76,24,0,26,0,1,4,11,0,1,1,1,2,0,0,0,1,69,133,64,15,1,8
油面筋,490,0,29,27,0,40,25,2,2,39,0,1,1,7,2,0,0,0,0,45,98,7,30,23,0
稻米(均值),346,0,13,7,0,34,1,2,2,77,0,1,1,0,2,0,0,0,1,103,110,13,4,2,3
粳米(标一),343,0,11,8,0,34,1,1,1,77,0,1,1,1,1,0,0,0,1,97,121,14,2,2,3
粳米(标二),347,0,3,8,0,20,1,3,0,77,0,1,0,1,1,0,0,0,0,78,99,13,1,6,3
